objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.2494,Kepler-1103 b,Kepler-1103,19.79191978,0.15336,0.0,2.27,5.77,2.71,736.0,160.282,6092.0,0.52181,1.11,1.15,-0.01,4.36,3.31
3.13449,TOI-470 b,TOI-470,12.19148,0.119,,4.34,17.4,1.17,660.0,44.7551,5190.0,-0.35799,0.87,0.831,0.1,4.54,1.4
3.2721,Kepler-1241 b,Kepler-1241,18.5525701,0.1336,0.0,2.63,7.41,2.24,612.0,31.456,5261.0,-0.32438,0.84,0.8,-0.09,4.56,4.68
3.3787,Kepler-164 b,Kepler-164,5.03503,0.058,0.0,1.41,2.57,5.04,1141.0,370.922,5888.0,0.11291,1.036,1.148,0.0,4.331,0.62
3.12368,EPIC 212424622 b,EPIC 212424622,18.0983,,,2.17,5.35,2.88,,,5782.33,0.17917,1.106,1.2247,,4.29996,
3.11973,WASP-127 b,WASP-127,4.17806203,0.0484,0.0,14.694999,52.346601,0.097,1400.0,703.971,5620.0,0.27574,0.95,1.333,-0.193,4.18,11.41
3.3491,Kepler-32 f,Kepler-32,0.74296,0.013,0.0,0.82,969.228,1.5,1026.0,349.645,3900.0,-1.29243,0.58,0.53,0.0,4.64,5.6
3.19213,HD 167677 b,HD 167677,1820.0,2.877,0.182,13.2,905.81095995,2.16,,,5474.0,-0.13215,0.96,0.95271,-0.29,4.43,11.5
3.4948,Kepler-1915 b,Kepler-1915,13.83539963,0.114,0.0,3.21798413,10.4,1.71,809.0,101.05,6020.0,0.06133,1.03,1.057,-0.06,4.403,
3.11652,NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,5.118,,0.28,14.0,127.132,0.255,,,5725.0,-0.01797,0.96,0.89,0.03,4.57,4.15
3.119,WASP-121 b,WASP-121,1.27492504,0.02596,0.0,19.64934317,367.7274669,0.266,2720.0,6216.41,6776.0,0.64372,1.358,1.458,0.13,4.242,1.5
3.17299,WASP-116 b,WASP-116,6.6132,0.065,0.0,13.67495645,203.41018048,0.43,1414.0,663.0,6250.0,0.49624,1.25,1.426,0.0,4.25,1.7
3.10264,K2-217 b,K2-217,14.074524,,,3.57854073,12.5,1.5,,,5967.0,0.23239,1.102661,1.333718,0.04,4.17,
3.9266,K2-275 c,K2-275,8.4388385,0.0881,,2.21,5.52,2.81,653.0,45.7572,4841.0,-0.59332,0.77,0.69,-0.06,4.65,
3.19009,WASP-193 b,WASP-193,6.2463345,0.0676,0.056,16.40994774,44.17814857,0.059,1254.0,413.0,6078.0,0.27416,1.059,1.239,-0.06,4.284,4.4
